# Index: draw
# Unit: none

Draw,ge_empirical_distribution_lowpass
1,0.53866857
2,0.52410913
3,0.64011729
4,0.86547256
5,0.33784395
6,0.46440259
7,0.5004257
8,0.77027756
9,0.58595049
10,0.63318652
11,0.67245734
12,0.53190356
13,0.91352588
14,0.093150072
15,0.74651372
16,0.76157475
17,-0.38413289
18,0.51306975
19,0.26964658
20,0.4373492
21,0.98279703
22,0.81047529
23,0.9123683
24,0.77904278
25,0.93505937
26,0.54829907
27,0.7045269
28,0.28054145
29,0.84686989
30,0.91956556
31,0.53257906
32,0.66434509
33,0.83930933
34,0.051843461
35,0.62738645
36,0.73798883
37,0.35569498
38,0.51655853
39,0.91576999
40,0.60947472
41,0.29860014
42,0.504704
43,0.52002525
44,0.89506626
45,0.37854525
46,0.73173523
47,0.69168323
48,0.59703368
49,0.82639271
50,0.71799648
51,0.4795239
52,0.60036784
53,0.66963214
54,0.13708854
55,0.34552324
56,0.6327219
57,0.81893778
58,0.67398143
59,0.85758084
60,0.47160423
61,0.62122715
62,0.48267549
63,0.54096979
64,1.1541423
65,-0.62177062
66,0.79836011
67,0.57269412
68,0.12355538
69,0.52369398
70,0.68876952
71,0.94677001
72,0.63371098
73,0.89664871
74,0.46975979
75,0.73232132
76,0.65321147
77,0.87999803
78,0.28211522
79,0.64668167
80,0.4688307
81,0.72063971
82,0.83119732
83,0.64668125
84,0.78388554
85,0.64238566
86,0.74022222
87,0.82721329
88,0.79240465
89,0.097361922
90,0.65745103
91,0.86006272
92,0.36411652
93,0.41504544
94,0.56776679
95,0.6975649
96,-0.12525564
97,0.64927489
98,0.76317734
99,0.037788741
100,0.48654798
101,0.2016398
102,0.78069431
103,0.98929638
104,0.21525995
105,0.47279957
106,0.6614784
107,0.015295897
108,0.090727217
109,0.46678033
110,0.9083432
111,0.20586632
112,0.3912392
113,0.52868581
114,0.75780869
115,0.61790299
116,0.25800106
117,0.038273267
118,0.94061792
119,0.49647647
120,0.45785302
121,0.53435683
122,0.52512634
123,0.18044214
124,0.61118853
125,0.34690917
126,0.69934911
127,0.89629996
128,0.63972646
129,-0.30512211
130,0.83287024
131,0.92791688
132,0.86299396
133,0.67995453
134,0.22102329
135,0.76452559
136,0.59945595
137,0.60562581
138,0.85092241
139,0.7665323
140,0.66758335
141,0.74463493
142,0.94961703
143,0.83681476
144,0.64629984
145,0.14806303
146,0.48822692
147,0.67196673
148,0.54442102
149,0.76045483
150,0.70786208
151,0.65359396
152,0.40967223
153,0.42855415
154,0.86558133
155,0.97367191
156,0.57473952
157,0.42630881
158,0.21500301
159,0.41463423
160,0.56444091
161,0.76657844
162,0.64747286
163,0.57326072
164,0.93208671
165,0.85299659
166,0.72777766
167,0.72978395
168,0.86772341
169,0.7130143
170,0.42071199
171,0.57599521
172,0.73721796
173,0.81947541
174,0.3548528
175,-0.41344765
176,0.55344683
177,0.45843041
178,0.16819066
179,-0.30317736
180,0.50464529
181,0.47213614
182,0.60751784
183,0.79828429
184,0.84460694
185,-0.3257449
186,-0.13486987
187,0.38669702
188,0.25216842
189,0.89020258
190,0.8185342
191,0.62344569
192,0.69760948
193,0.73481065
194,0.70550656
195,-0.013798162
196,0.74287391
197,0.4639369
198,0.34635019
199,0.58476204
200,0.73188722
201,0.68291199
202,0.52133453
203,0.6849063
204,0.75589275
205,0.64944702
206,0.72100574
207,0.85560733
208,0.98514211
209,0.48981211
210,0.55805737
211,0.59054041
212,0.85797054
213,0.83788019
214,0.31319684
215,0.31943488
216,0.60790378
217,0.67669863
218,0.64828652
219,0.79508591
220,0.34779343
221,0.59407985
222,0.71044248
223,0.49790207
224,0.7049216
225,0.67396951
226,0.7330882
227,0.73270446
228,0.54080725
229,0.3916764
230,0.51639742
231,0.67367917
232,0.50591147
233,0.74006099
234,0.53219873
235,0.88403463
236,0.31288469
237,0.35119772
238,0.69076288
239,0.44898263
240,0.58059782
241,0.98055744
242,0.46636632
243,0.5786708
244,0.73701429
245,0.56109262
246,0.50463021
247,0.58374321
248,0.033576503
249,0.68348217
250,0.56503409
251,0.82977533
252,0.48241571
253,0.97303009
254,0.43584007
255,0.58230221
256,0.52610946
257,0.56503069
258,0.37283781
259,0.50242162
260,0.50398546
261,0.52073097
262,0.57879359
263,0.30402973
264,0.46556708
265,0.5644986
266,0.19195855
267,0.71718717
268,0.8955313
269,0.64838517
270,0.62108952
271,0.78630447
272,0.94555718
273,0.68186402
274,0.75658989
275,0.2294721
276,0.46399778
277,0.56869304
278,0.67906207
279,0.65717292
280,0.77411836
281,0.36495093
282,-0.013323805
283,0.72694242
284,-0.25288886
285,0.2516717
286,0.25542015
287,0.89217287
288,0.74728215
289,0.70410466
290,0.43363544
291,0.11039747
292,0.75900233
293,0.60331768
294,0.7260974
295,0.57787138
296,0.53730547
297,0.47111535
298,0.65223306
299,0.77396691
300,0.53369451
301,0.90081316
302,0.65056664
303,0.68366218
304,0.73164612
305,-0.037960783
306,0.95229024
307,0.92693228
308,0.80752099
309,0.70892769
310,0.3521972
311,0.71417284
312,0.94197655
313,0.18785836
314,0.62234491
315,0.8822391
316,0.56849271
317,0.81329364
318,0.86708993
319,0.24789573
320,0.32007191
321,0.19295517
322,0.7073921
323,0.71567601
324,0.44268498
325,0.72661173
326,0.38834819
327,0.3531864
328,0.32988909
329,0.45866466
330,0.60481608
331,0.359467
332,0.70947868
333,1.058007
334,0.67274988
335,0.89790022
336,0.70612025
337,0.80617595
338,0.119045
339,0.41455284
340,0.57897425
341,0.76771361
342,0.53766829
343,0.85276109
344,0.57955283
345,0.52898335
346,0.90505898
347,0.34544533
348,0.69439554
349,0.25084734
350,0.30670792
351,0.58176488
352,0.19141483
353,0.66921324
354,0.22571218
355,0.55878806
356,0.54961169
357,0.64059401
358,0.39014551
359,0.41553575
360,0.88503003
361,0.75470829
362,0.70816201
363,0.11937323
364,-0.019212699
365,0.63284695
366,0.49195054
367,0.56147361
368,0.8793239
369,0.89577305
370,0.57527399
371,0.8179639
372,0.83860755
373,0.68716991
374,0.61643976
375,0.71451521
376,0.62396896
377,0.80462211
378,0.050137073
379,0.66205704
380,0.67725945
381,0.52634871
382,0.15490577
383,0.76099479
384,0.35413784
385,0.63344038
386,0.35609242
387,0.6380803
388,0.77842742
389,0.71683294
390,0.46294835
391,0.86476398
392,0.51570982
393,0.72027844
394,0.67849845
395,0.75501281
396,-0.10512358
397,0.89245439
398,0.66314691
399,0.54805565
400,0.32198992
401,0.77463341
402,0.38180062
403,0.945283
404,0.74154961
405,0.31935975
406,0.4480556
407,0.50374889
408,0.37752378
409,0.80263251
410,0.78513086
411,0.32646734
412,0.71228057
413,0.6019935
414,0.096312411
415,0.58908266
416,0.54729885
417,-0.13388911
418,0.73651272
419,0.94627613
420,0.64003795
421,0.56037772
422,0.70748019
423,0.74251747
424,0.53734577
425,0.58343536
426,0.8643344
427,0.99093193
428,0.57354522
429,0.91791862
430,0.42151386
431,0.64522457
432,0.61030048
433,0.74886012
434,0.59960806
435,0.61854005
436,0.42190444
437,0.86645055
438,0.75013024
439,0.53341419
440,1.1315516
441,0.80686885
442,0.41181698
443,0.85794312
444,0.61824721
445,0.9478755
446,0.53477907
447,0.71226305
448,0.49139377
449,0.73891956
450,0.54855394
451,0.90543318
452,0.55425614
453,0.36906809
454,0.16343902
455,0.54686451
456,0.76978725
457,0.66433263
458,0.69879824
459,-0.22669186
460,0.96857786
461,0.61164016
462,0.29469445
463,0.68053931
464,0.55465591
465,0.71949542
466,0.72438186
467,0.071613528
468,0.60023028
469,0.68877685
470,0.63431108
471,0.5741154
472,0.621907
473,0.57291126
474,0.097751066
475,0.2961024
476,0.51372224
477,-0.30980605
478,0.35151902
479,0.71930426
480,0.68189335
481,0.63724375
482,0.17684984
483,0.55419922
484,0.15641591
485,0.6228261
486,0.23849593
487,0.056745261
488,0.57188231
489,-0.071997508
490,0.94754618
491,0.33265492
492,0.69350517
493,0.7408886
494,0.44952071
495,0.35030556
496,0.77316058
497,0.3400065
498,0.71024585
499,0.66163588
500,0.39644277
501,0.25460935
502,0.36053693
503,0.83440012
504,0.11692385
505,0.37072334
506,0.47735846
507,0.67354101
508,0.33754772
509,0.62291485
510,0.40245137
511,0.37450102
512,0.50556588
513,0.27331474
514,0.47198373
515,0.76283693
516,0.86144155
517,0.67515129
518,0.69388461
519,0.57784212
520,0.67750251
521,0.74936992
522,0.63638264
523,0.63780689
524,0.60436332
525,1.0323238
526,0.91232497
527,0.91933995
528,0.87225401
529,0.61263132
530,0.88302326
531,0.71124631
532,0.63136411
533,0.44015652
534,0.75050133
535,-1.4385136
536,0.86817688
537,0.76991296
538,0.64745468
539,0.68894196
540,0.38864315
541,0.54499424
542,0.64452881
543,0.850061
544,0.31647381
545,0.58725441
546,0.40520629
547,0.83919209
548,0.68764746
549,0.3818492
550,0.76289618
551,0.70917839
552,0.55482262
