# Index: time, region

"year","AF","CA","EE","EU","IA","LA","OT","US"
2020,101.194762347033,105.94643372166,98.8922099371045,94.5912060545828,105.94643372166,89.0714919460946,94.5912060545828,94.5912060545828
2030,42.1798412776329,62.6397224461112,39.8230522283952,52.8803031923036,62.6397224461112,28.1023152893542,52.8803031923036,52.8803031923036
2040,27.3066902972899,36.0873698350001,16.2568845317048,29.1331952153293,36.0873698350001,-5.41019065357938,29.1331952153293,29.1331952153293
2050,9.48284211860493,13.0889494164527,-0.740497771776711,7.63116147816246,13.0889494164527,-27.0282645364015,7.63116147816246,7.63116147816246
2075,-16.60543518168,-13.2560877544989,-22.8394976728173,-15.9238278239725,-13.2560877544989,-65.8425108614808,-15.9238278239725,-15.9238278239725
2100,-45.6059615984459,-24.6180002644635,-37.869510376124,-29.5578836375977,-24.6180002644635,-86.5644557896369,-29.5578836375977,-29.5578836375977
2150,-22.802980799223,-12.3090001322318,-18.934755188062,-14.7789418187989,-12.3090001322318,-43.2822278948184,-14.7789418187989,-14.7789418187989
2200,-11.4014903996115,-6.15450006611588,-9.46737759403101,-7.38947090939943,-6.15450006611588,-21.6411139474092,-7.38947090939943,-7.38947090939943
2250,-5.70074519980574,-3.07725003305794,-4.7336887970155,-3.69473545469972,-3.07725003305794,-10.8205569737046,-3.69473545469972,-3.69473545469972
2300,-2.85037259990287,-1.53862501652897,-2.36684439850775,-1.84736772734986,-1.53862501652897,-5.4102784868523,-1.84736772734986,-1.84736772734986
