# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,49.1538216431181,49.1538216431181,49.1538216431181,54.4146505841562,84.6617282197311,84.6617282197311,74.3406734930131,67.2171714815754
2021,48.4296234981206,48.4296234981206,48.4296234981206,53.5841280250943,83.9609252317752,83.9609252317752,74.4053183792509,66.7654291160741
2022,47.7054253531231,47.7054253531231,47.7054253531231,52.7536054660324,83.2601222438194,83.2601222438194,74.4699632654887,66.3136867505729
2023,46.9812272081256,46.9812272081256,46.9812272081256,51.9230829069705,82.5593192558635,82.5593192558635,74.5346081517265,65.8619443850717
2024,46.2570290631281,46.2570290631281,46.2570290631281,51.0925603479086,81.8585162679076,81.8585162679076,74.5992530379643,65.4102020195704
2025,45.5328309181306,45.5328309181306,45.5328309181306,50.2620377888466,81.1577132799518,81.1577132799518,74.6638979242021,64.9584596540692
2026,44.8086327731331,44.8086327731331,44.8086327731331,49.4315152297847,80.4569102919959,80.4569102919959,74.7285428104399,64.5067172885679
2027,44.0844346281356,44.0844346281356,44.0844346281356,48.6009926707228,79.7561073040401,79.7561073040401,74.7931876966777,64.0549749230667
2028,43.360236483138,43.360236483138,43.360236483138,47.7704701116609,79.0553043160842,79.0553043160842,74.8578325829155,63.6032325575655
2029,42.6360383381405,42.6360383381405,42.6360383381405,46.939947552599,78.3545013281284,78.3545013281284,74.9224774691533,63.1514901920642
2030,41.911840193143,41.911840193143,41.911840193143,46.1094249935371,77.6536983401725,77.6536983401725,74.9871223553911,62.699747826563
2031,41.5102566172514,41.5102566172514,41.5102566172514,45.7233897017214,77.0413372577704,77.0413372577704,75.6016880584792,62.5378809931098
2032,41.1086730413597,41.1086730413597,41.1086730413597,45.3373544099058,76.4289761753683,76.4289761753683,76.2162537615673,62.3760141596567
2033,40.7070894654681,40.7070894654681,40.7070894654681,44.9513191180901,75.8166150929662,75.8166150929662,76.8308194646553,62.2141473262035
2034,40.3055058895764,40.3055058895764,40.3055058895764,44.5652838262745,75.2042540105641,75.2042540105641,77.4453851677434,62.0522804927504
2035,39.9039223136847,39.9039223136847,39.9039223136847,44.1792485344588,74.591892928162,74.591892928162,78.0599508708315,61.8904136592972
2036,39.5023387377931,39.5023387377931,39.5023387377931,43.7932132426432,73.9795318457599,73.9795318457599,78.6745165739195,61.7285468258441
2037,39.1007551619014,39.1007551619014,39.1007551619014,43.4071779508275,73.3671707633578,73.3671707633578,79.2890822770076,61.5666799923909
2038,38.6991715860098,38.6991715860098,38.6991715860098,43.0211426590119,72.7548096809557,72.7548096809557,79.9036479800957,61.4048131589378
2039,38.2975880101181,38.2975880101181,38.2975880101181,42.6351073671963,72.1424485985535,72.1424485985535,80.5182136831837,61.2429463254846
2040,37.8960044342265,37.8960044342265,37.8960044342265,42.2490720753806,71.5300875161514,71.5300875161514,81.1327793862718,61.0810794920315
