# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,146.364328246099,146.364328246099,146.364328246099,134.381327334083,151.977946007058,151.977946007058,160.066791227754,138.15271066343
2021,145.956716655969,145.956716655969,145.956716655969,136.58637313193,157.99753258063,157.99753258063,163.280156922141,141.865741055832
2022,145.549105065839,145.549105065839,145.549105065839,138.791418929777,164.017119154202,164.017119154202,166.493522616528,145.578771448233
2023,145.141493475709,145.141493475709,145.141493475709,140.996464727623,170.036705727774,170.036705727774,169.706888310914,149.291801840635
2024,144.733881885579,144.733881885579,144.733881885579,143.20151052547,176.056292301346,176.056292301346,172.920254005301,153.004832233036
2025,144.326270295449,144.326270295449,144.326270295449,145.406556323317,182.075878874918,182.075878874918,176.133619699688,156.717862625438
2026,143.918658705319,143.918658705319,143.918658705319,147.611602121163,188.09546544849,188.09546544849,179.346985394074,160.430893017839
2027,143.511047115189,143.511047115189,143.511047115189,149.81664791901,194.115052022062,194.115052022062,182.560351088461,164.143923410241
2028,143.103435525059,143.103435525059,143.103435525059,152.021693716857,200.134638595633,200.134638595633,185.773716782848,167.856953802642
2029,142.695823934929,142.695823934929,142.695823934929,154.226739514703,206.154225169205,206.154225169205,188.987082477235,171.569984195044
2030,142.288212344799,142.288212344799,142.288212344799,156.43178531255,212.173811742777,212.173811742777,192.200448171621,175.283014587445
2031,141.811469705357,141.811469705357,141.811469705357,158.171701751567,217.597092570241,217.597092570241,195.691531294421,180.111012802771
2032,141.334727065915,141.334727065915,141.334727065915,159.911618190583,223.020373397705,223.020373397705,199.182614417222,184.939011018096
2033,140.857984426473,140.857984426473,140.857984426473,161.6515346296,228.443654225169,228.443654225169,202.673697540022,189.767009233422
2034,140.381241787032,140.381241787032,140.381241787032,163.391451068616,233.866935052633,233.866935052633,206.164780662822,194.595007448747
2035,139.90449914759,139.90449914759,139.90449914759,165.131367507633,239.290215880097,239.290215880097,209.655863785623,199.423005664073
2036,139.427756508148,139.427756508148,139.427756508148,166.87128394665,244.713496707561,244.713496707561,213.146946908423,204.251003879398
2037,138.951013868706,138.951013868706,138.951013868706,168.611200385666,250.136777535025,250.136777535025,216.638030031223,209.079002094724
2038,138.474271229264,138.474271229264,138.474271229264,170.351116824683,255.560058362489,255.560058362489,220.129113154023,213.907000310049
2039,137.997528589823,137.997528589823,137.997528589823,172.091033263699,260.983339189953,260.983339189953,223.620196276824,218.734998525375
2040,137.520785950381,137.520785950381,137.520785950381,173.830949702716,266.406620017417,266.406620017417,227.111279399624,223.5629967407
