# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,66.48887700551195,66.48887700551195,66.48887700551195,78.45921644907592,103.54747297306663,103.54747297306663,106.54593431165469,86.65352562201012
2030,52.6699438151889,52.6699438151889,52.6699438151889,64.25266125913012,80.4748448887584,80.4748448887584,108.56613493418088,79.20514437996347
2040,40.00543971824103,40.00543971824103,40.00543971824103,48.50477597215138,57.86360943920692,57.86360943920692,104.73854660402199,69.57686724114342
2050,28.495313493215974,28.495313493215974,28.495313493215974,31.216821848390914,35.71361009885036,35.71361009885036,95.06157806726297,57.76772557817973
2075,19.98827540955393,19.98827540955393,19.98827540955393,14.476920338802532,14.801437262430534,14.801437262430534,68.92381422179726,33.63758322627983
2100,17.916137164902857,17.916137164902857,17.916137164902857,10.626748246848253,11.832147354058362,11.832147354058362,48.726547165803815,27.818493760223557
2150,17.916137164902857,17.916137164902857,17.916137164902857,10.626748246848253,11.832147354058362,11.832147354058362,48.726547165803815,27.818493760223557
2200,17.916137164902857,17.916137164902857,17.916137164902857,10.626748246848253,11.832147354058362,11.832147354058362,48.726547165803815,27.818493760223557
2250,17.916137164902857,17.916137164902857,17.916137164902857,10.626748246848253,11.832147354058362,11.832147354058362,48.726547165803815,27.818493760223557
2300,17.916137164902857,17.916137164902857,17.916137164902857,10.626748246848253,11.832147354058362,11.832147354058362,48.726547165803815,27.818493760223557
