# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,106.07313900377422,106.07313900377422,106.07313900377422,125.05797571254018,116.2631983592509,116.2631983592509,125.1634185146995,127.2536654496794
2030,113.35145572167744,113.35145572167744,113.35145572167744,138.3612198588634,130.32830402322776,130.32830402322776,152.09329669150412,145.74871057303767
2040,122.48624779060475,122.48624779060475,122.48624779060475,149.2544198688377,145.45632783259424,145.45632783259424,176.3618209558292,164.47556279074664
2050,126.22603207196063,126.22603207196063,126.22603207196063,154.60314689674087,154.7544934451545,154.7544934451545,196.268318970545,174.31050560288278
2075,131.0570971900576,131.0570971900576,131.0570971900576,164.5668653217964,169.80629555953553,169.80629555953553,248.78666710213832,186.41030909368695
2100,133.29376352616566,133.29376352616566,133.29376352616566,202.99728199885294,196.89804136679157,196.89804136679157,289.4936242283987,181.728332622107
2150,133.29376352616566,133.29376352616566,133.29376352616566,202.99728199885294,196.89804136679157,196.89804136679157,289.4936242283987,181.728332622107
2200,133.29376352616566,133.29376352616566,133.29376352616566,202.99728199885294,196.89804136679157,196.89804136679157,289.4936242283987,181.728332622107
2250,133.29376352616566,133.29376352616566,133.29376352616566,202.99728199885294,196.89804136679157,196.89804136679157,289.4936242283987,181.728332622107
2300,133.29376352616566,133.29376352616566,133.29376352616566,202.99728199885294,196.89804136679157,196.89804136679157,289.4936242283987,181.728332622107
