"year","region","rate","rate.lb","rate.ub"
2030,"EU",1.51,1.51,1.51
2040,"EU",1.47,1.47,1.47
2050,"EU",1.39,1.39,1.39
2075,"EU",1.48,1.48,1.48
2100,"EU",1.47,1.47,1.47
2030,"US",1.55,1.55,1.55
2040,"US",1.02,1.02,1.02
2050,"US",0.86,0.86,0.86
2075,"US",0.95,0.95,0.95
2100,"US",1.18,1.18,1.18
2030,"OT",1.74,1.74,1.74
2040,"OT",1.42,1.42,1.42
2050,"OT",1.28,1.28,1.28
2075,"OT",1.33,1.33,1.33
2100,"OT",1.38,1.38,1.38
2030,"EE",4.02,4.02,4.02
2040,"EE",3.16,3.16,3.16
2050,"EE",1.84,1.84,1.84
2075,"EE",1.5,1.5,1.5
2100,"EE",1.36,1.36,1.36
2030,"CA",6.11,6.11,6.11
2040,"CA",3.8,3.8,3.8
2050,"CA",2.51,2.51,2.51
2075,"CA",1.41,1.41,1.41
2100,"CA",1.1,1.1,1.1
2030,"IA",4.83,4.83,4.83
2040,"IA",4,4,4
2050,"IA",3.12,3.12,3.12
2075,"IA",2.17,2.17,2.17
2100,"IA",1.48,1.48,1.48
2030,"AF",1.79,1.79,1.79
2040,"AF",1.8,1.8,1.8
2050,"AF",1.44,1.44,1.44
2075,"AF",1.59,1.59,1.59
2100,"AF",1.97,1.97,1.97
2030,"LA",2.51,2.51,2.51
2040,"LA",2.21,2.21,2.21
2050,"LA",1.96,1.96,1.96
2075,"LA",1.68,1.68,1.68
2100,"LA",1.27,1.27,1.27
2101,"EU",1.45565446261637,1.45088028052242,1.4606813247204
2101,"US",1.17045296903974,1.16622449006997,1.17458235225999
2101,"OT",1.36714365426501,1.36258487040298,1.37184032343656
2101,"EE",1.34747458574248,1.34297842699618,1.35210681925082
2101,"CA",1.09177669494964,1.08764432019941,1.09591598994372
2101,"IA",1.46548899687764,1.46069347881991,1.47054183658635
2101,"AF",1.94738117567954,1.94009866178931,1.95481725449066
2101,"LA",1.25896377739111,1.25469904128566,1.2633026483946
2102,"EU",1.44145449789541,1.43200952960102,1.45142321520233
2102,"US",1.16096865081868,1.15260034899167,1.16916575844332
2102,"OT",1.35440716604401,1.34538629305795,1.3637265101641
2102,"EE",1.33506331452148,1.32616577293623,1.34425238508573
2102,"CA",1.08359324472855,1.07542621828981,1.09179346140274
2102,"IA",1.45112642365668,1.44164201264515,1.4611456569174
2102,"AF",1.92505078595874,1.91071563946487,1.93976685454515
2102,"LA",1.24801598267008,1.23957596308677,1.25663147583025
2103,"EU",1.42739856537705,1.41338450039327,1.44222525681812
2103,"US",1.15154699156299,1.13912805404269,1.1637405102863
2103,"OT",1.34178945626234,1.32840164042061,1.35565814186975
2103,"EE",1.3227652097924,1.3095627421439,1.33643662420525
2103,"CA",1.07545000568324,1.06334440498679,1.08763789135288
2103,"IA",1.43691068861202,1.42284215999932,1.45181103502026
2103,"AF",1.90300472712544,1.88180944747145,1.92484684017672
2103,"LA",1.2371561006777,1.22461342878017,1.24999613949913
2104,"EU",1.41348514172652,1.39500198848387,1.4330870380665
2104,"US",1.14218792700313,1.12581537993087,1.15833148817461
2104,"OT",1.32928945439857,1.31162831548724,1.34763506026615
2104,"EE",1.31057930165902,1.29316602974597,1.32865946116119
2104,"CA",1.06734731604495,1.05139729895223,1.08342194807517
2104,"IA",1.42284021809629,1.40429052744068,1.44253754809685
2104,"AF",1.88123896021512,1.85337264084482,1.91005615844793
2104,"LA",1.22638361433107,1.20979053678713,1.24339324500286
2105,"EU",1.39971272053176,1.3768588313289,1.42400815054525
2105,"US",1.13289138270114,1.11265547153873,1.15294194263049
2105,"OT",1.3169060984464,1.29506387652718,1.33964965972504
2105,"EE",1.29850462687187,1.27697292971148,1.32092081840986
2105,"CA",1.05928549640303,1.03958341241921,1.07916150997024
2105,"IA",1.40891345631903,1.385983768857,1.43332477649725
2105,"AF",1.85974950989492,1.82540161008412,1.89539354682594
2105,"LA",1.2156980047865,1.1951194621753,1.23681059375793
2106,"EU",1.38607981210346,1.35895190770718,1.41498818892415
2106,"US",1.12365727437001,1.09964662002047,1.14746824721558
2106,"OT",1.30463833487584,1.2787057647783,1.33170615543921
2106,"EE",1.28654022882526,1.26098094334797,1.31322061636423
2106,"CA",1.05126485016768,1.02783998754946,1.07495212069698
2106,"IA",1.39512886512875,1.36791858477139,1.4241723036934
2106,"AF",1.83853246336803,1.7978880537493,1.88085775632326
2106,"LA",1.20509875159764,1.1805994657572,1.23024935070192
2107,"EU",1.37258494327758,1.34127813717892,1.40602675091825
2107,"US",1.1144855081854,1.08678713672054,1.14196829591107
2107,"OT",1.2924851185938,1.26255142959943,1.32381785837679
2107,"EE",1.27468515755296,1.24518760209717,1.30555877344523
2107,"CA",1.04328566402204,1.01622472397533,1.0705575693077
2107,"IA",1.381484923798,1.35009172165908,1.41507971625294
2107,"AF",1.81758396929858,1.7708238299238,1.86644755134302
2107,"LA",1.19458533286918,1.16623881819243,1.22371376689173
2108,"EU",1.35922665722046,1.3238344795515,1.39712343726137
2108,"US",1.10537598108975,1.07407535110752,1.13654261166593
2108,"OT",1.28044541290403,1.24659838976754,1.31597481444893
2108,"EE",1.26293846972261,1.22959046718112,1.29793520613219
2108,"CA",1.03534820836404,1.00478576571131,1.0660808954432
2108,"IA",1.36798012881117,1.33249997127487,1.4060466038134
2108,"AF",1.79690023675616,1.74420297560359,1.85216170952609
2108,"LA",1.18415722540618,1.15210563960071,1.21720255859247
2109,"EU",1.34600351323642,1.30661793435218,1.38827785167991
2109,"US",1.09632858108918,1.0615096105925,1.13109722056151
2109,"OT",1.26851818946659,1.2308441931025,1.3081767806944
2109,"EE",1.25129922862884,1.21418712925226,1.29034982901226
2109,"CA",1.02745273773821,0.993475995504202,1.06154657950061
2109,"IA",1.35461299365529,1.31514033014075,1.39707255905653
2109,"AF",1.77647753417994,1.71801676492106,1.83799075275895
2109,"LA",1.17381390485901,1.13813915096621,1.21071613376411
2110,"EU",1.33291408657777,1.28962554030784,1.37948960086685
2110,"US",1.08734318754301,1.049088280349,1.12565113142622
2110,"OT",1.25670242825663,1.21528641615154,1.30042351526216
2110,"EE",1.23976650418527,1.19897432454918,1.28280255482909
2110,"CA",1.01959949125756,0.982294321468834,1.05695600704065
2110,"IA",1.34138204861345,1.2980095921494,1.38815717768301
2110,"AF",1.75631218836183,1.69222250991216,1.82388230089301
2110,"LA",1.16355484586414,1.12433747718389,1.20420348965998
2111,"EU",1.31995696825724,1.27285437483152,1.37075829445614
2111,"US",1.07841967144644,1.0368097431345,1.12020497389093
2111,"OT",1.24499711752286,1.19992266387659,1.29271477740863
2111,"EE",1.22833937291521,1.18392968434703,1.27529329453058
2111,"CA",1.01178869301587,0.971234278660159,1.05270075882305
2111,"IA",1.32828584056107,1.28110464263629,1.37930005838727
2111,"AF",1.73640058344829,1.66678604687182,1.80988253878302
2111,"LA",1.15337952218083,1.11069917089752,1.19774827088617
2112,"EU",1.30713076486288,1.2563015535157,1.36208354499728
2112,"US",1.06955789570622,1.02467239911358,1.11477694842091
2112,"OT",1.2334012537453,1.18475056934454,1.28505032749508
2112,"EE",1.21701691794139,1.16906860936106,1.26782195731579
2112,"CA",1.00402055249058,0.960237274827068,1.04821765253147
2112,"IA",1.31532293276484,1.26442244603436,1.37050080283263
2112,"AF",1.71673915996059,1.64174768754331,1.79599062504911
2112,"LA",1.1432874068238,1.09722472566862,1.19133559295531
2113,"EU",1.29443409837516,1.23996422963225,1.35346496793012
2113,"US",1.06075771540965,1.01267466568257,1.10941216581486
2113,"OT",1.22191384159276,1.16976779342038,1.27742992698489
2113,"EE",1.20579822897445,1.15438897594922,1.26038845068102
2113,"CA",0.996295264936404,0.949354226392977,1.04362824114883
2113,"IA",1.30249190468432,1.24796000891408,1.36175901562666
2113,"AF",1.69732441383295,1.61710091729629,1.78220572486908
2113,"LA",1.13327797219205,1.08390998261127,1.18494898849758
2114,"EU",1.28186560598653,1.22383959363897,1.34490218156004
2114,"US",1.05201897808703,1.00081498531199,1.10405768366295
2114,"OT",1.21053389387979,1.15496495092948,1.26985333844082
2114,"EE",1.19468240230051,1.13988868237843,1.25299268046506
2114,"CA",0.988613011769932,0.938545309401121,1.03907452550896
2114,"IA",1.28979135177616,1.23171437936947,1.35307430429677
2114,"AF",1.67815289546841,1.59294590192049,1.76852700992678
2114,"LA",1.12335069019377,1.07075311829762,1.17858847809789
2115,"EU",1.26942393992316,1.20792487269258,1.33639480703325
2115,"US",1.04334152396766,0.989092237533839,1.0987151717499
2115,"OT",1.19926043152318,1.14030207395135,1.26231537670242
2115,"EE",1.18366854076763,1.12556564866278,1.24563795096255
2115,"CA",0.980973960945448,0.927772999168738,1.03446589803568
2115,"IA",1.27721988530094,1.21568264641392,1.34444685870594
2115,"AF",1.65922120881197,1.56926496761642,1.75506413881083
2115,"LA",1.11350503236764,1.05775232880909,1.17225407980231
2116,"EU",1.25710776726904,1.19221733016813,1.32794246831243
